Est Number,Premise Name,Premise Address,Inspection Type,Score,Inspection Date,Violation List,Followup Required,Opening Date,lat,lng
67302,DUNBAR FOOTBALL CONCESSION,1600 MAN O'WAR BLVD.,1,99,11/14/2013,19,NO,10/1/2002,38.0173018,-84.5768474
67302,DUNBAR FOOTBALL CONCESSION,1600 MAN O'WAR BLVD.,1,99,3/10/2014,19,NO,10/1/2002,38.0173018,-84.5768474
67302,DUNBAR FOOTBALL CONCESSION,1600 MAN O'WAR BLVD.,1,100,9/9/2014,,NO,10/1/2002,38.0173018,-84.5768474
68558,DUNBAR HIGH SCHOOL SOFTBALL,1600 MAN-O-WAR BLVD.,1,100,11/14/2013,,NO,10/1/2005,38.0173018,-84.5768474
68558,DUNBAR HIGH SCHOOL SOFTBALL,1600 MAN-O-WAR BLVD.,1,99,3/10/2014,15,NO,10/1/2005,38.0173018,-84.5768474
68558,DUNBAR HIGH SCHOOL SOFTBALL,1600 MAN-O-WAR BLVD.,1,97,9/9/2014,  15  34,NO,10/1/2005,38.0173018,-84.5768474
80513,DUNKIN DONUTS,"333 E. MAIN ST., STE 180",1,98,11/12/2013,12,NO,4/7/2008,38.0426294,-84.4922066
80513,DUNKIN DONUTS,"333 E. MAIN ST., STE 180",1,96,5/28/2014,  12  26,NO,4/7/2008,38.0426294,-84.4922066
82346,DUNKIN DONUTS,1306 SOUTH BROADWAY,1,93,2/25/2014,  11  12,NO,10/27/2008,38.0343689,-84.5217146
82346,DUNKIN DONUTS,1306 SOUTH BROADWAY,2,98,2/25/2014,12,NO,10/27/2008,38.0343689,-84.5217146
82346,DUNKIN DONUTS,1306 SOUTH BROADWAY,1,93,8/22/2014,   8  17  20,NO,10/27/2008,38.0343689,-84.5217146
82346,DUNKIN DONUTS,1306 SOUTH BROADWAY,2,97,8/22/2014,   8  20,NO,10/27/2008,38.0343689,-84.5217146
94470,DUNKIN DONUTS,4000 TERMINAL DR,1,100,1/9/2014,,NO,1/9/2014,38.0377046,-84.5981689
94470,DUNKIN DONUTS,4000 TERMINAL DR,1,99,7/29/2014,20,NO,1/9/2014,38.0377046,-84.5981689
55114,"DUPREE CATERING & EVENTS, LLC",1006 DELAWARE AVENUE,1,98,1/6/2014,  15  19,NO,4/9/1996,38.038188,-84.470352
55114,"DUPREE CATERING & EVENTS, LLC",1006 DELAWARE AVENUE,1,99,7/8/2014,2,NO,4/9/1996,38.038188,-84.470352
32022,DURANGO'S MEXICAN RESTAURANT,"2121 RICHMOND ROAD, SUITE 150",1,89,12/23/2013,   5   8  11  15  30,NO,6/26/1992,38.019641,-84.465616
32022,DURANGO'S MEXICAN RESTAURANT,"2121 RICHMOND ROAD, SUITE 150",2,94,12/23/2013,   5   8  15  30,NO,6/26/1992,38.019641,-84.465616
32022,DURANGO'S MEXICAN RESTAURANT,"2121 RICHMOND ROAD, SUITE 150",1,91,6/26/2014,   6  12  15  19  20  30  31,NO,6/26/1992,38.019641,-84.465616
31184,EAST 7TH STREET MISSION,240 EAST 7TH STREET,1,94,12/26/2013,  19  26  30  34,NO,8/10/1988,38.0523371,-84.4808944
31184,EAST 7TH STREET MISSION,240 EAST 7TH STREET,1,98,6/16/2014,  15  19,NO,8/10/1988,38.0523371,-84.4808944
93827,EASTERN STATE HOSPITAL - KITCHEN,1350 BULL LEA LANE,1,94,2/18/2014,  19  31  33,NO,9/8/2013,38.0848852,-84.4978023
93827,EASTERN STATE HOSPITAL - KITCHEN,1350 BULL LEA LANE,2,98,2/18/2014,  19  31,NO,9/8/2013,38.0848852,-84.4978023
93827,EASTERN STATE HOSPITAL - KITCHEN,1350 BULL LEA LANE,1,100,8/4/2014,,NO,9/8/2013,38.0848852,-84.4978023
75036,EDIBLE ARRANGEMENTS,"3101 RICHMOND ROAD, STE. 304",1,100,7/3/2014,,NO,6/23/2014,38.0037507,-84.4444339
31044,EDUCARE LEARNING CENTER,2832 SNOW ROAD,1,100,1/14/2014,,NO,7/13/1988,37.992909,-84.457731
31044,EDUCARE LEARNING CENTER,2832 SNOW ROAD,1,100,7/21/2014,,NO,7/13/1988,37.992909,-84.457731
69420,EDYTHE J HAYES MIDDLE SCHOOL,260 RICHARDSON PLACE,1,100,10/4/2013,,NO,3/26/2003,37.979938,-84.410087
69420,EDYTHE J HAYES MIDDLE SCHOOL,260 RICHARDSON PLACE,1,96,3/13/2014,17,NO,3/26/2003,37.979938,-84.410087
69420,EDYTHE J HAYES MIDDLE SCHOOL,260 RICHARDSON PLACE,2,100,3/26/2014,,NO,3/26/2003,37.979938,-84.410087
93443,EL BUEN TACO,STATE MOBILE,1,94,8/7/2014,   5  17,NO,7/8/2013,38.0560568,-84.4352477
93443,EL BUEN TACO,STATE MOBILE,2,98,8/7/2014,5,NO,7/8/2013,38.0560568,-84.4352477
76884,EL CHARRO AUTHENTIC MEXICAN CUISINE,4371 OLD HARRODSBURG RD STE 180/190,1,100,1/15/2014,,NO,6/27/2012,37.9963976,-84.5844611
76884,EL CHARRO AUTHENTIC MEXICAN CUISINE,4371 OLD HARRODSBURG RD STE 180/190,1,99,8/22/2014,20,NO,6/27/2012,37.9963976,-84.5844611
47339,EL CIELO BAR,1418 VILLAGE DRIVE,1,93,2/12/2014,  15  16  26  31  32,NO,2/12/2014,38.0484674,-84.5491292
47339,EL CIELO BAR,1418 VILLAGE DRIVE,1,86,9/5/2014,  15  16  19  21  23  26  31  32,YES,2/12/2014,38.0484674,-84.5491292
86918,EL GRAN TAKO #2,1801 ALEXANDRIA DR. # 156,1,80,10/8/2013,   4   6  13  15  19  25  26  27  30  31  32,NO,1/27/2011,38.0366352,-84.5530521
86918,EL GRAN TAKO #2,1801 ALEXANDRIA DR. # 156,2,87,10/8/2013,   4   6  15  19  26  27  30  31  32,YES,1/27/2011,38.0366352,-84.5530521
86918,EL GRAN TAKO #2,1801 ALEXANDRIA DR. # 156,2,96,10/18/2013,  19  27  31,NO,1/27/2011,38.0366352,-84.5530521
86918,EL GRAN TAKO #2,1801 ALEXANDRIA DR. # 156,1,90,4/29/2014,   8  13  15  19  20  30  31,YES,1/27/2011,38.0366352,-84.5530521
86918,EL GRAN TAKO #2,1801 ALEXANDRIA DR. # 156,2,97,5/13/2014,   8  15,NO,1/27/2011,38.0366352,-84.5530521
31592,EL HABANERO LOKO,102 W VINE ST,1,87,11/25/2013,  11  18  19  26  31  32  34,NO,6/20/2013,38.045646,-84.498274
31592,EL HABANERO LOKO,102 W VINE ST,2,92,11/25/2013,  18  19  26  31  32  34,NO,6/20/2013,38.045646,-84.498274
31592,EL HABANERO LOKO,102 W VINE ST,1,97,5/23/2014,  15  19  30,NO,6/20/2013,38.045646,-84.498274
32479,EL MALECON,757 EAST NEW CIRCLE RD.,1,100,6/6/2014,,NO,6/6/2014,38.0477104,-84.4534089
81712,EL MARIACHI MEXICAN RESTAURANT,125 TOWNE CENTER DR STE 115,1,95,11/26/2013,  15  19  31  34,NO,7/25/2008,38.08409,-84.4889481
81712,EL MARIACHI MEXICAN RESTAURANT,125 TOWNE CENTER DR STE 115,1,90,6/13/2014,   6  11  20  26,NO,7/25/2008,38.08409,-84.4889481
81712,EL MARIACHI MEXICAN RESTAURANT,125 TOWNE CENTER DR STE 115,2,95,6/13/2014,   6  20  26,NO,7/25/2008,38.08409,-84.4889481
67778,EL MILAGRO DOS,"1545 ALEXANDRIA DRIVE, STE C-1",1,97,1/24/2014,   4  19,NO,2/11/2005,38.045279,-84.552999
67778,EL MILAGRO DOS,"1545 ALEXANDRIA DRIVE, STE C-1",1,97,1/24/2014,   4  19,NO,2/11/2005,38.045279,-84.552999
67778,EL MILAGRO DOS,"1545 ALEXANDRIA DRIVE, STE C-1",1,92,7/24/2014,   5   8  18  19  34,NO,2/11/2005,38.045279,-84.552999
69603,EL RANCHO TAPATIO TAQUERIA &,144 BURT ROAD,1,99,10/3/2013,15,NO,8/10/2009,38.0075116,-84.5196495
69603,EL RANCHO TAPATIO TAQUERIA &,144 BURT ROAD,1,91,1/27/2014,   3   4  18  20,YES,8/10/2009,38.0075116,-84.5196495
69603,EL RANCHO TAPATIO TAQUERIA &,144 BURT ROAD,2,98,2/6/2014,6,NO,8/10/2009,38.0075116,-84.5196495
69603,EL RANCHO TAPATIO TAQUERIA &,144 BURT ROAD,1,100,8/8/2014,,NO,8/10/2009,38.0075116,-84.5196495
74015,EL REY DE-LOS POLLOS & EL REY DE MARISCOS,1485-1 ALEXANDRER DR.,1,93,1/31/2014,   8   9  15  19  31,NO,8/5/2013,38.0184155,-84.5138369
74015,EL REY DE-LOS POLLOS & EL REY DE MARISCOS,1485-1 ALEXANDRER DR.,1,82,7/30/2014,   4   8   9  13  15  19  20  26  29  34,YES,8/5/2013,38.0184155,-84.5138369
74015,EL REY DE-LOS POLLOS & EL REY DE MARISCOS,1485-1 ALEXANDRER DR.,2,94,8/15/2014,   4   8  15  19,NO,8/5/2013,38.0184155,-84.5138369
31012,EL SABOR DE MEXICO RESTAURANT & TAYUENA,1505 RUSSELL CAVE RD.,1,100,11/13/2013,,NO,11/12/2012,38.0722521,-84.475394
31012,EL SABOR DE MEXICO RESTAURANT & TAYUENA,1505 RUSSELL CAVE RD.,1,93,5/12/2014,   1  16  18,NO,11/12/2012,38.0722521,-84.475394
31012,EL SABOR DE MEXICO RESTAURANT & TAYUENA,1505 RUSSELL CAVE RD.,2,97,5/12/2014,  16  18,NO,11/12/2012,38.0722521,-84.475394
31012,EL SABOR DE MEXICO RESTAURANT & TAYUENA,1505 RUSSELL CAVE RD.,1,92,9/12/2014,  11  18  26,NO,11/12/2012,38.0722521,-84.475394
31012,EL SABOR DE MEXICO RESTAURANT & TAYUENA,1505 RUSSELL CAVE RD.,2,97,9/12/2014,  18  26,NO,11/12/2012,38.0722521,-84.475394
64268,EL TORO RESTAURANT,1917 NICHOLASVILLE ROAD,1,96,12/17/2013,   6  18  20,NO,9/7/2007,38.0128153,-84.5161046
64268,EL TORO RESTAURANT,1917 NICHOLASVILLE ROAD,1,99,6/18/2014,15,NO,9/7/2007,38.0128153,-84.5161046
89752,ELLO'S ON BROADWAY,406 S BROADWAY STE 200,1,90,3/6/2014,   3   5  13,NO,3/27/2012,38.0455235,-84.504246
89752,ELLO'S ON BROADWAY,406 S BROADWAY STE 200,2,98,3/6/2014,5,NO,3/27/2012,38.0455235,-84.504246
89752,ELLO'S ON BROADWAY,406 S BROADWAY STE 200,1,98,8/18/2014,  15  32,NO,3/27/2012,38.0455235,-84.504246
62113,EMBASSY SUITES LEXINGTON,1801 NEWTOWN PIKE,1,93,12/26/2013,   1   8  19,NO,4/19/1994,38.094852,-84.488877
62113,EMBASSY SUITES LEXINGTON,1801 NEWTOWN PIKE,2,97,12/26/2013,   8  19,NO,4/19/1994,38.094852,-84.488877
62113,EMBASSY SUITES LEXINGTON,1801 NEWTOWN PIKE,1,99,5/30/2014,19,NO,4/19/1994,38.094852,-84.488877
81390,EMBRACE UNITED METHODIST CHURCH,1015 N LIMESTONE ST.,1,100,11/19/2013,,NO,6/24/2008,38.0594919,-84.4788201
81390,EMBRACE UNITED METHODIST CHURCH,1015 N LIMESTONE ST.,1,100,5/14/2014,,NO,6/24/2008,38.0594919,-84.4788201
72708,EMERSON CENTER,2050 GARDEN SPRINGS DR,1,100,11/25/2013,,NO,10/25/2004,38.0272981,-84.5424639
72708,EMERSON CENTER,2050 GARDEN SPRINGS DR,1,96,6/5/2014,  13  19,YES,10/25/2004,38.0272981,-84.5424639
72708,EMERSON CENTER,2050 GARDEN SPRINGS DR,2,100,6/18/2014,,NO,10/25/2004,38.0272981,-84.5424639
76396,ENOTECA,"191 JEFFERSON STREET, 1ST FLOOR",1,99,1/14/2014,15,NO,10/1/2012,38.0536662,-84.5006933
76396,ENOTECA,"191 JEFFERSON STREET, 1ST FLOOR",1,95,8/7/2014,  15  17,YES,10/1/2012,38.0536662,-84.5006933
76396,ENOTECA,"191 JEFFERSON STREET, 1ST FLOOR",1,90,8/7/2014,  11  15  17,NO,10/1/2012,38.0536662,-84.5006933
76396,ENOTECA,"191 JEFFERSON STREET, 1ST FLOOR",2,99,8/8/2014,15,NO,10/1/2012,38.0536662,-84.5006933
86708,EQUESTRIAN ROOM KITCHEN,4201 VERSAILLES RD,1,97,10/8/2013,  15  18  19,NO,9/2/2010,38.0469517,-84.6062404
86708,EQUESTRIAN ROOM KITCHEN,4201 VERSAILLES RD,1,94,4/9/2014,  15  17  19,YES,9/2/2010,38.0469517,-84.6062404
86708,EQUESTRIAN ROOM KITCHEN,4201 VERSAILLES RD,2,98,4/23/2014,  15  19,NO,9/2/2010,38.0469517,-84.6062404
86714,EVERGREEN BAPTIST CHURCH,749 FLORIDA ST.,1,97,10/18/2013,  16  30,NO,9/3/2010,38.0576798,-84.4842369
86714,EVERGREEN BAPTIST CHURCH,749 FLORIDA ST.,1,97,4/22/2014,  16  20,NO,9/3/2010,38.0576798,-84.4842369
31624,EXPRESS 11,430 WEST VINE STREET,1,100,10/29/2013,,NO,12/22/2008,38.0493472,-84.5025328
31624,EXPRESS 11,430 WEST VINE STREET,1,100,3/19/2014,,NO,12/22/2008,38.0493472,-84.5025328
35860,F & D MARKET,573 ELM TREE LANE,1,72,2/17/2014,   5  11  12  16  17  19  26  28  30  31  33,YES,9/8/1988,38.0504281,-84.4832786
35860,F & D MARKET,573 ELM TREE LANE,1,96,8/5/2014,  15  19  26,NO,9/8/1988,38.0504281,-84.4832786
83768,FAIRFIELD INN & SUITES,2100 HACKNEY PLACE,1,97,9/24/2013,13,YES,6/8/2009,38.2771879,-85.640478
83768,FAIRFIELD INN & SUITES,2100 HACKNEY PLACE,1,97,9/24/2013,13,YES,6/8/2009,38.2771879,-85.640478
83768,FAIRFIELD INN & SUITES,2100 HACKNEY PLACE,1,99,3/12/2014,20,NO,6/8/2009,38.2771879,-85.640478
83768,FAIRFIELD INN & SUITES,2100 HACKNEY PLACE,1,94,8/13/2014,   2  11,NO,6/8/2009,38.2771879,-85.640478
83768,FAIRFIELD INN & SUITES,2100 HACKNEY PLACE,2,99,8/13/2014,2,NO,6/8/2009,38.2771879,-85.640478
42875,FAITH LUTHERAN CHILD CARE MINISTRIES,1000 TATES CREEK RD,1,100,10/8/2013,,NO,12/24/1997,38.0262839,-84.491264
42875,FAITH LUTHERAN CHILD CARE MINISTRIES,1000 TATES CREEK RD,1,100,4/2/2014,,NO,12/24/1997,38.0262839,-84.491264
90818,FAMILY CARE CENTER (LFUCG),1135 RED MILE PLACE,1,100,12/26/2013,,NO,6/5/2012,38.0460376,-84.525105
90818,FAMILY CARE CENTER (LFUCG),1135 RED MILE PLACE,1,99,6/30/2014,19,NO,6/5/2012,38.0460376,-84.525105
60888,FARM MARKET,1079 E NEW CIRCLE RD,1,92,12/23/2013,   1  13  15,NO,8/9/2010,38.0358781,-84.4537264
60888,FARM MARKET,1079 E NEW CIRCLE RD,2,99,12/23/2013,15,NO,8/9/2010,38.0358781,-84.4537264
60888,FARM MARKET,1079 E NEW CIRCLE RD,1,100,6/3/2014,,NO,8/9/2010,38.0358781,-84.4537264
31073,FASIG-TIPTON BAR,2400 NEWTOWN PIKE,1,100,3/20/2014,,NO,7/13/1988,38.111143,-84.475436
31073,FASIG-TIPTON BAR,2400 NEWTOWN PIKE,1,100,8/12/2014,,NO,7/13/1988,38.111143,-84.475436
31072,FASIG-TIPTON COFFEE SHOP,2400 NEWTOWN PIKE,1,99,3/20/2014,19,NO,7/13/1988,38.111143,-84.475436
31072,FASIG-TIPTON COFFEE SHOP,2400 NEWTOWN PIKE,1,100,8/12/2014,,NO,7/13/1988,38.111143,-84.475436
31070,FASIG-TIPTON MAIN DINING,2400 NEWTOWN PIKE,1,98,3/20/2014,12,NO,7/13/1988,38.111143,-84.475436
31070,FASIG-TIPTON MAIN DINING,2400 NEWTOWN PIKE,1,100,8/12/2014,,NO,7/13/1988,38.111143,-84.475436
30942,FAST STOP,1392 TRENT BLVD,1,97,1/9/2014,   2  15  30,NO,2/21/1996,37.9698299,-84.4806698
30942,FAST STOP,1392 TRENT BLVD,1,93,7/21/2014,  19  26  27  34,NO,2/21/1996,37.9698299,-84.4806698
47379,"FATBURGER, THE",1539 EASTLAND PKWY STE. 100,1,76,7/5/2014,   1   2   8  11  13  15  16  19  20  33,YES,1/17/2014,38.0482736,-84.4491184
47379,"FATBURGER, THE",1539 EASTLAND PKWY STE. 100,2,99,7/17/2014,20,NO,1/17/2014,38.0482736,-84.4491184
47556,FAYETTE CO. CO-OP EXT. SERVICE,1140 RED MILE PLACE,1,100,10/25/2013,,NO,3/6/1996,38.0460606,-84.5249602
47556,FAYETTE CO. CO-OP EXT. SERVICE,1140 RED MILE PLACE,1,99,5/7/2014,19,NO,3/6/1996,38.0460606,-84.5249602
51962,FAYETTE COUNTY PRESCHOOL,465 SPRINGHILL DRIVE,1,100,11/4/2013,,NO,8/19/2013,38.028007,-84.523821
51962,FAYETTE COUNTY PRESCHOOL,465 SPRINGHILL DRIVE,1,100,2/13/2014,,NO,8/19/2013,38.028007,-84.523821
51962,FAYETTE COUNTY PRESCHOOL,465 SPRINGHILL DRIVE,1,100,9/9/2014,,NO,8/19/2013,38.028007,-84.523821
75019,FAYETTE REG. JUV. DET. CTR.,3475 SPURR ROAD,1,100,12/20/2013,,NO,11/5/2005,38.1105529,-84.5483331
75019,FAYETTE REG. JUV. DET. CTR.,3475 SPURR ROAD,1,100,6/27/2014,,NO,11/5/2005,38.1105529,-84.5483331
43388,FAZOLI'S - #1607,3775 HARRODSBURG ROAD,1,96,10/30/2013,17,YES,12/12/1990,38.0026548,-84.5706131
43388,FAZOLI'S - #1607,3775 HARRODSBURG ROAD,2,98,11/11/2013,8,NO,12/12/1990,38.0026548,-84.5706131
43388,FAZOLI'S - #1607,3775 HARRODSBURG ROAD,1,98,5/8/2014,  19  20,NO,12/12/1990,38.0026548,-84.5706131
35843,FAZOLI'S #1601,1951 NORTH BROADWAY,1,97,11/4/2013,  15  19  31,NO,9/6/1988,38.0748584,-84.4591981
35843,FAZOLI'S #1601,1951 NORTH BROADWAY,1,98,5/8/2014,  19  31,NO,9/6/1988,38.0748584,-84.4591981
31104,FAZOLI'S #1605,2195 -A RICHMOND ROAD,1,100,11/5/2013,,NO,5/22/1996,38.018878,-84.464735
31104,FAZOLI'S #1605,2195 -A RICHMOND ROAD,1,100,5/12/2014,,NO,5/22/1996,38.018878,-84.464735
32207,FAZOLI'S #1606,130 WINSLOW STREET,1,97,11/26/2013,  18  19  31,NO,10/2/1990,38.041994,-84.504848
32207,FAZOLI'S #1606,130 WINSLOW STREET,1,96,5/27/2014,17,NO,10/2/1990,38.041994,-84.504848
32207,FAZOLI'S #1606,130 WINSLOW STREET,2,100,5/27/2014,,NO,10/2/1990,38.041994,-84.504848
46590,FAZOLI'S #1624,2200 NICHOLASVILLE RD.,1,99,2/5/2014,19,NO,5/19/1992,38.0084535,-84.51762
46590,FAZOLI'S #1624,2200 NICHOLASVILLE RD.,1,100,8/15/2014,,NO,5/19/1992,38.0084535,-84.51762
50583,FAZOLI'S #1658,4204 SARON DR.,1,97,5/29/2014,  16  19,NO,4/26/1994,37.967943,-84.501231
59209,FAZOLI'S #1785,1840 ALYSHEBA WAY,1,99,3/28/2014,18,NO,12/10/1997,38.0184924,-84.4188832
79784,FEED THE HUNGRY,811 BRYAN AVENUE,1,100,12/30/2013,,NO,1/28/2008,38.056601,-84.479773
79784,FEED THE HUNGRY,811 BRYAN AVENUE,1,100,7/1/2014,,NO,1/28/2008,38.056601,-84.479773
89403,FIREHOUSE SUBS,1781 SHARKEY WAY,1,98,11/6/2013,8,NO,10/14/2011,38.0682607,-84.5311509
89403,FIREHOUSE SUBS,1781 SHARKEY WAY,1,98,5/21/2014,  15  20,NO,10/14/2011,38.0682607,-84.5311509
92161,FIREHOUSE SUBS,"141 ROJAY DR, STE 110",1,100,12/16/2013,,NO,12/27/2012,37.9849399,-84.5300433
92161,FIREHOUSE SUBS,"141 ROJAY DR, STE 110",1,98,6/2/2014,26,NO,12/27/2012,37.9849399,-84.5300433
95814,FIREHOUSE SUBS,"101 SAND LAKE DR, SUITE 150",1,100,7/29/2014,,NO,7/29/2014,37.9991968,-84.444802
77652,FIREHOUSE SUBS #301,"535 S UPPER ST., STE. 175",1,100,11/11/2013,,NO,2/15/2011,38.0426262,-84.5050644
77652,FIREHOUSE SUBS #301,"535 S UPPER ST., STE. 175",1,100,5/2/2014,,NO,2/15/2011,38.0426262,-84.5050644
54104,FIRST CHOICE CHILD CARE CENTER,505 KINGSTON RD,1,100,11/7/2013,,NO,10/4/1995,38.0847679,-84.447201
54104,FIRST CHOICE CHILD CARE CENTER,505 KINGSTON RD,1,100,5/5/2014,,NO,10/4/1995,38.0847679,-84.447201
87711,FIRST PRESBYTERIAN CHURCH,171 MARKET ST,1,99,11/19/2013,15,NO,2/25/2011,38.0492405,-84.4966594
87711,FIRST PRESBYTERIAN CHURCH,171 MARKET ST,1,99,6/20/2014,30,NO,2/25/2011,38.0492405,-84.4966594
69007,FIRST UNITED METHODIST CHURCH,200 WEST HIGH STREET,1,100,11/1/2013,,NO,1/8/2003,38.045974,-84.5003739
69007,FIRST UNITED METHODIST CHURCH,200 WEST HIGH STREET,1,100,5/20/2014,,NO,1/8/2003,38.045974,-84.5003739
91424,FIRST WATCH,3071 RICHMOND RD.,1,94,9/27/2013,  12  15  18  20  30,NO,9/4/2012,38.00185,-84.4458595
